Estados, 	1990,	1991,	1992,	1993,	1994,	1995,	1996,	1997,	1998,	1999,	2000,	2001,	2002,	2003,	2004,	2005,	
Norte,	52,9,	51,3,	49,7	48,1	46,6	45,2	43,8	42,4	41,1	39,9	38,6	37,7	35,2	34,6	33,1	32,1	
Rondônia,           	49,2	47,7	46,3	44,9	43,6	42,3	41,0	39,8	38,6	37,4	36,3	35,0	31,3	30,9	
Acre,               	65,1	60,9	57,0	53,4	49,9	46,7	43,7	40,9	38,3	35,8	33,5	34,1	30,7	28,7	
Amazonas,           	51,3	50,2	49,2	48,1	47,1	46,1	45,1	44,1	43,2	42,3	41,4	40,4	36,2	34,9	
Roraima,            	45,7	43,6	41,5	39,6	37,8	36,0	34,3	32,7	31,2	29,7	28,3	26,3	24,5	26,1	
Pará,               	53,3	51,6	49,9	48,3	46,8	45,3	43,8	42,4	41,0	39,7	38,4	38,0	36,5	36,8	
Amapá,              	43,9	43,2	42,4	41,7	40,9	40,2	39,5	38,8	38,2	37,5	36,8	33,4	31,4	32,6	
